row_number,gene_symbol,missing_values,missing_percent,is_duplicate_gene_symbol
193,ACOT9,0,0.0,False
194,ACOX1,0,0.0,False
195,ACOX2,0,0.0,False
196,ACOX3,0,0.0,False
197,ACOXL,0,0.0,False
198,ACP1,0,0.0,False
199,ACP2,0,0.0,False
200,ACP5,0,0.0,False
201,ACP6,0,0.0,False
202,ACPL2,0,0.0,False
203,ACPP,0,0.0,False
204,ACPT,0,0.0,False
205,ACR,0,0.0,False
206,ACRBP,0,0.0,False
207,ACRC,0,0.0,False
208,ACRV1,0,0.0,False
209,ACSBG1,0,0.0,False
210,ACSBG2,0,0.0,False
211,ACSF2,0,0.0,False
212,ACSF3,0,0.0,False
213,ACSL1,0,0.0,False
214,ACSL3,0,0.0,False
215,ACSL4,0,0.0,False
216,ACSL5,0,0.0,False
217,ACSL6,0,0.0,False
218,ACSM1,0,0.0,False
219,ACSM2A,0,0.0,False
220,ACSM2B,0,0.0,False
221,ACSM3,0,0.0,False
222,ACSM4,0,0.0,False
223,ACSM5,0,0.0,False
224,ACSS1,0,0.0,False
225,ACSS2,0,0.0,False
226,ACSS3,0,0.0,False
227,ACTA1,0,0.0,False
228,ACTA2,0,0.0,False
229,ACTB,0,0.0,False
230,ACTBL2,0,0.0,False
231,ACTC1,0,0.0,False
232,ACTG1,0,0.0,False
233,ACTG2,0,0.0,False
234,ACTL6A,0,0.0,False
235,ACTL6B,0,0.0,False
236,ACTL7A,0,0.0,False
237,ACTL7B,0,0.0,False
238,ACTL8,0,0.0,False
239,ACTL9,0,0.0,False
240,ACTN1,0,0.0,False
241,ACTN2,0,0.0,False
242,ACTN3,0,0.0,False
243,ACTN4,0,0.0,False
244,ACTR10,0,0.0,False
245,ACTR1A,0,0.0,False
246,ACTR1B,0,0.0,False
247,ACTR2,0,0.0,False
248,ACTR3,0,0.0,False
249,ACTR3B,0,0.0,False
250,ACTR3C,0,0.0,False
251,ACTR5,0,0.0,False
252,ACTR6,0,0.0,False
253,ACTR8,0,0.0,False
254,ACTRT1,0,0.0,False
255,ACTRT2,0,0.0,False
256,ACVR1,0,0.0,False
257,ACVR1B,0,0.0,False
258,ACVR1C,0,0.0,False
259,ACVR2A,0,0.0,False
260,ACVR2B,0,0.0,False
261,ACVRL1,0,0.0,False
262,ACY1,0,0.0,False
263,ACY3,0,0.0,False
264,ACYP1,0,0.0,False
265,ACYP2,0,0.0,False
266,ADA,0,0.0,False
267,ADAD1,0,0.0,False
268,ADAD2,0,0.0,False
269,ADAL,0,0.0,False
270,ADAM10,0,0.0,False
271,ADAM11,0,0.0,False
272,ADAM12,0,0.0,False
273,ADAM15,0,0.0,False
274,ADAM17,0,0.0,False
275,ADAM18,0,0.0,False
276,ADAM19,0,0.0,False
277,ADAM20,0,0.0,False
278,ADAM21,0,0.0,False
279,ADAM21P1,0,0.0,False
280,ADAM2,0,0.0,False
281,ADAM22,0,0.0,False
282,ADAM23,0,0.0,False
283,ADAM28,0,0.0,False
284,ADAM29,0,0.0,False
285,ADAM30,0,0.0,False
286,ADAM32,0,0.0,False
287,ADAM33,0,0.0,False
288,ADAM3A,0,0.0,False
289,ADAM5P,0,0.0,False
290,ADAM6,0,0.0,False
291,ADAM7,0,0.0,False
292,ADAM8,0,0.0,False
293,ADAM9,0,0.0,False
294,ADAMDEC1,0,0.0,False
295,ADAMTS10,0,0.0,False
296,ADAMTS12,0,0.0,False
297,ADAMTS13,0,0.0,False
298,ADAMTS14,0,0.0,False
299,ADAMTS15,0,0.0,False
300,ADAMTS16,0,0.0,False
301,ADAMTS17,0,0.0,False
302,ADAMTS18,0,0.0,False
303,ADAMTS19,0,0.0,False
304,ADAMTS1,0,0.0,False
305,ADAMTS20,0,0.0,False
306,ADAMTS2,0,0.0,False
307,ADAMTS3,0,0.0,False
308,ADAMTS4,0,0.0,False
309,ADAMTS5,0,0.0,False
310,ADAMTS6,0,0.0,False
311,ADAMTS7,0,0.0,False
312,ADAMTS8,0,0.0,False
313,ADAMTS9,0,0.0,False
314,ADAMTSL1,0,0.0,False
315,ADAMTSL2,0,0.0,False
316,ADAMTSL3,0,0.0,False
317,ADAMTSL4,0,0.0,False
318,ADAMTSL5,0,0.0,False
319,ADAP1,0,0.0,False
320,ADAP2,0,0.0,False
321,ADAR,0,0.0,False
322,ADARB1,0,0.0,False
323,ADARB2,0,0.0,False
324,ADAT1,0,0.0,False
325,ADAT2,0,0.0,False
326,ADAT3,0,0.0,False
327,ADC,0,0.0,False
328,ADCK1,0,0.0,False
329,ADCK2,0,0.0,False
330,ADCK4,0,0.0,False
331,ADCK5,0,0.0,False
332,ADCY10,0,0.0,False
333,ADCY1,0,0.0,False
334,ADCY2,0,0.0,False
335,ADCY3,0,0.0,False
336,ADCY4,0,0.0,False
337,ADCY5,0,0.0,False
338,ADCY6,0,0.0,False
339,ADCY7,0,0.0,False
340,ADCY8,0,0.0,False
341,ADCY9,0,0.0,False
342,ADCYAP1,0,0.0,False
343,ADCYAP1R1,0,0.0,False
344,ADD1,0,0.0,False
345,ADD2,0,0.0,False
346,ADD3,0,0.0,False
347,ADH1A,0,0.0,False
348,ADH1B,0,0.0,False
349,ADH1C,0,0.0,False
350,ADH4,0,0.0,False
351,ADH5,0,0.0,False
352,ADH6,0,0.0,False
353,ADH7,0,0.0,False
354,ADHFE1,0,0.0,False
355,ADI1,0,0.0,False
356,ADIG,0,0.0,False
357,ADIPOQ,0,0.0,False
358,ADIPOR1,0,0.0,False
359,ADIPOR2,0,0.0,False
360,ADK,0,0.0,False
361,ADM,0,0.0,False
362,ADM2,0,0.0,False
363,ADNP2,0,0.0,False
364,ADNP,0,0.0,False
365,ADO,0,0.0,False
366,ADORA1,0,0.0,False
367,ADORA2A,0,0.0,False
368,ADORA2B,0,0.0,False
369,ADORA3,0,0.0,False
370,ADPGK,0,0.0,False
371,ADPRH,0,0.0,False
372,ADPRHL1,0,0.0,False
373,ADPRHL2,0,0.0,False
374,ADRA1A,0,0.0,False
375,ADRA1B,0,0.0,False
376,ADRA1D,0,0.0,False
377,ADRA2A,0,0.0,False
378,ADRA2B,0,0.0,False
379,ADRA2C,0,0.0,False
380,ADRB1,0,0.0,False
381,ADRB2,0,0.0,False
382,ADRB3,0,0.0,False
383,ADRBK1,0,0.0,False
384,ADRBK2,0,0.0,False
385,ADRM1,0,0.0,False
386,ADSL,0,0.0,False
387,ADSS,0,0.0,False
388,ADSSL1,0,0.0,False
389,AEBP1,0,0.0,False
390,AEBP2,0,0.0,False
391,AEN,0,0.0,False
392,AES,0,0.0,False
393,AFAP1,0,0.0,False
394,AFAP1L1,0,0.0,False
395,AFAP1L2,0,0.0,False
396,AFARP1,0,0.0,False
397,AFF1,0,0.0,False
398,AFF2,0,0.0,False
399,AFF3,0,0.0,False
400,AFF4,0,0.0,False
401,AFG3L1,0,0.0,False
402,AFG3L2,0,0.0,False
403,AFM,0,0.0,False
404,AFMID,0,0.0,False
405,AFP,0,0.0,False
406,AFTPH,0,0.0,False
407,C11orf96,0,0.0,False
408,AGA,0,0.0,False
409,AGAP11,0,0.0,False
410,AGAP1,0,0.0,False
411,AGAP2,0,0.0,False
412,AGAP3,0,0.0,False
413,AGAP4,0,0.0,False
414,AGAP5,0,0.0,False
415,AGAP6,0,0.0,False
416,AGAP7,0,0.0,False
417,AGAP8,0,0.0,False
418,AGBL1,0,0.0,False
419,AGBL2,0,0.0,False
420,AGBL3,0,0.0,False
421,AGBL4,0,0.0,False
422,AGBL5,0,0.0,False
423,AGER,0,0.0,False
424,AGFG1,0,0.0,False
425,AGFG2,0,0.0,False
426,AGGF1,0,0.0,False
427,AGK,0,0.0,False
428,AGL,0,0.0,False
429,AGMAT,0,0.0,False
430,AGPAT1,0,0.0,False
431,AGPAT2,0,0.0,False
432,AGPAT3,0,0.0,False
433,AGPAT4,0,0.0,False
434,AGPAT5,0,0.0,False
435,AGPAT6,0,0.0,False
436,AGPAT9,0,0.0,False
437,AGPHD1,0,0.0,False
438,AGPS,0,0.0,False
439,AGR2,0,0.0,False
440,AGR3,0,0.0,False
441,AGRN,0,0.0,False
442,AGRP,0,0.0,False
443,AGT,0,0.0,False
444,AGTPBP1,0,0.0,False
445,AGTR1,0,0.0,False
446,AGTR2,0,0.0,False
447,AGTRAP,0,0.0,False
448,AGXT,0,0.0,False
449,AGXT2,0,0.0,False
450,AGXT2L1,0,0.0,False
451,AGXT2L2,0,0.0,False
452,AHCTF1,0,0.0,False
453,AHCY,0,0.0,False
454,AHCYL1,0,0.0,False
455,AHCYL2,0,0.0,False
456,AHDC1,0,0.0,False
457,AHI1,0,0.0,False
458,AHNAK2,0,0.0,False
459,AHNAK,0,0.0,False
460,AHR,0,0.0,False
461,AHRR,0,0.0,False
462,AHSA1,0,0.0,False
463,AHSA2,0,0.0,False
464,AHSG,0,0.0,False
465,AHSP,0,0.0,False
466,AICDA,0,0.0,False
467,AIDA,0,0.0,False
468,AIF1,0,0.0,False
469,AIF1L,0,0.0,False
470,AIFM1,0,0.0,False
471,AIFM2,0,0.0,False
472,AIFM3,0,0.0,False
473,AIG1,0,0.0,False
474,AIM1,0,0.0,False
475,AIM1L,0,0.0,False
476,AIM2,0,0.0,False
477,AIMP1,0,0.0,False
478,AIMP2,0,0.0,False
479,AIP,0,0.0,False
